"API","API10","oper_alias","form_avg","Status","PerfLL","FirstProd","Oil_PkNorm_Perk_6mo"
"42461394580000","4246139458","COG","SPBY_L_SHALE","PRODUCING",5095,9/1/2014,7173
"42461394600000","4246139460","PARSLEY","WFMP_B","PRODUCING",7645,9/1/2014,12562
"42461394610000","4246139461","COG","WFMP_B","PRODUCING",5054,1/1/2015,13501
"42461394650000","4246139465","PIONEER","WFMP_B","PRODUCING",6782,12/1/2014,9733
"42461394680000","4246139468","PIONEER","WFMP_A","PRODUCING",6807,12/1/2014,5722
"42461394710000","4246139471","COG","SPBY_L_SHALE","PRODUCING",7500,1/1/2015,8035
"42461394720000","4246139472","DIAMONDBACK","WFMP_B_LOWER","PRODUCING",7069,7/1/2016,2828
"42461394730000","4246139473","PIONEER","WFMP_A","PRODUCING",9967,3/1/2015,4130
"42461394740000","4246139474","PARSLEY","WFMP_A","PRODUCING",4996,9/1/2014,8091
"42461394760000","4246139476","PARSLEY","WFMP_D","PRODUCING",5123,2/1/2015,1611
"42461394780000","4246139478","PIONEER","WFMP_B","PRODUCING",10010,2/1/2015,13185
"42461394830000","4246139483","PIONEER","WFMP_C","PRODUCING",10082,2/1/2015,4371
"42461394900000","4246139490","XTO","WFMP_B_LOWER","PRODUCING",5084,12/1/2014,4364
"42461394910000","4246139491","XTO","WFMP_A","PRODUCING",5061,12/1/2014,6815
"42461394920000","4246139492","COG","WFMP_B","PRODUCING",4684,1/1/2015,11688
"42461394930000","4246139493","COG","WFMP_B","PRODUCING",5070,3/1/2015,6757
"42461394950000","4246139495","HUNT OIL","WFMP_B","PRODUCING",6967,9/1/2014,3336
"42461394990000","4246139499","XTO","WFMP_A","PRODUCING",5097,11/1/2014,6359
"42461395000000","4246139500","PIONEER","WFMP_C","PRODUCING",9912,3/1/2015,4698
"42461395010000","4246139501","PIONEER","WFMP_C","PRODUCING",9882,3/1/2015,5107
"42461395020000","4246139502","PIONEER","WFMP_B","PRODUCING",9882,2/1/2015,9231
"42461395160000","4246139516","DIAMONDBACK","SPBY_L_SHALE","PRODUCING",4957,2/1/2015,4452
"42461395170000","4246139517","DIAMONDBACK","SPBY_L_SHALE","PRODUCING",4978,2/1/2015,5171
"42461395250000","4246139525","PARSLEY","WFMP_B","PRODUCING",4730,8/1/2014,8163
"42461395260000","4246139526","PIONEER","WFMP_A","PRODUCING",7887,3/1/2015,10488
"42461395330000","4246139533","SM","WFMP_B","PRODUCING",7635,12/1/2014,13152
"42461395350000","4246139535","SM","WFMP_B","PRODUCING",7630,12/1/2014,15570
"42461395460000","4246139546","COG","WFMP_B","PRODUCING",5043,12/1/2014,11454
"42461395500000","4246139550","PARSLEY","WFMP_B_LOWER","PRODUCING",4999,12/1/2014,10223
"42461395600000","4246139560","SM","WFMP_B","PRODUCING",4944,11/1/2014,11404
"42461395610000","4246139561","SM","WFMP_B","PRODUCING",5072,11/1/2014,12923
"42461395710000","4246139571","ENCANA","WFMP_A","PRODUCING",7281,7/1/2015,8906
"42461395750000","4246139575","PIONEER","WFMP_D","PRODUCING",9091,6/1/2015,6958
"42461395780100","4246139578","APACHE","WFMP_B","PRODUCING",8946,1/1/2015,4470
